0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96
000D;5;;5B3576B3000001DD;00000000000000000030;;724004;405;40502;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB41;1.0;;;;;;;;;45;53;;00000000000001573B6B;7.0;DDE55CE655D56D003031D5DAE177B951BF8C3031030DA95B163938A830310000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;;;;;;;;00000000000000000114A0EC;000006A4;00000708;000015C2;000015C2;;;;;;;;;;;;;;;;;;;;;ECED0802A433D9353031;
0005;1;;5B3576B300000191;00000000000000000031;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;61500060000.0;01C9;0002;5.0;1.0;6718152D;;1.0;06B8;0AABBF34;16E4FE49;73;05871D25;05871D25;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB42;;;;;;;;;;;;;;;;;;;;;;;;;;69BC21D7FCB0690E3031;
0005;1;;5B3576B300000297;00000000000000000032;;724004;405;40502;;;;1.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB42;1.0;;;;;;;;;;;;;;;;;;;;;;00000000000000000114A0ED;000005DC;00000708;0000157C;0000157C;;;;;;;;;;;;;;;;;;;;;6579D1E6884088283031;
0005;1;;5B3576B60000013F;00000000000000000033;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;732700030300.0;01C9;0001;1.0;1.0;1654F3BD;;1.0;0310;C4150B0F;210C2A78;73;FCCBED57;FCCBED57;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB43;;;;;;;;;;;;;;;;;;;;;;;;;;FFCC12D36738110A3031;
0005;1;;5B3576B60000021F;00000000000000000034;;724004;405;40502;;;;1.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB43;1.0;;;;;;;;;;;;;;;;;;;;;;00000000000000000114A0EE;000005DC;00000708;0000118A;0000118A;;;;;;;;;;;;;;;;;;;;;106F683A2EEA3B413031;
0005;1;;5B3576BC00000366;00000000000000000035;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;61500060000.0;01C9;0004;9.0;1.0;573C8193;;1.0;095A;47D48622;A65D4E84;6F;1F313335;1F313335;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB44;;;;;;;;;;;;;;;;;;;;;;;;;;A648F34883D7B67C3031;
0005;1;;5B3576BD00000067;00000000000000000036;;724004;405;40502;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB44;1.0;;;;;;;;;;;;;;;;;;;;;;00000000000000000114A0EF;000006A4;0000076C;0000166C;0000166C;;;;;;;;;;;;;;;;;;;;;58DA23092A665A6C3031;
0005;1;;5B3576BD0000006F;00000000000000000037;;724004;405;40502;;;;;;;;;;;;;;;;;;;;;;;;732700030300.0;01C9;0001;1.0;1.0;158C342C;;1.0;0D2D;2FA51A27;23469D41;73;8269BE56;8269BE56;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB45;;;;;;;;;;;;;;;;;;;;;;;;;;61239275386F3F6D3031;
0005;1;;5B3576BD0000013D;00000000000000000038;;724004;405;40502;;;;1.0;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;000000000000000000E0FB45;1.0;;;;;;;;;;;;;;;;;;;;;;00000000000000000114A0F0;00000708;000006A4;0000172A;0000172A;;;;;;;;;;;;;;;;;;;;;FCD9C9B8423CEE603031;
0009;1;;5B3576BE000000B7;00000000000000000039;;724004;405;40502;;;;1.0;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46;46;;00000000000001573B6C;7.0;F252CF91E80A978C30318465D3FC51C406E03031CF80A11293932AE030310000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000;;;;;;;;00000000000000000114A0F1;00000578;00000898;00001234;00001234;;;;;;;;;;;;;;;;;;;;;E7CE8FB3B773678B3031;
